"hero","troop_type","s1_skill","s1_trigger_type","s1_trigger_frequency","s1_trigger_source","s2_skill","s2_trigger_type","s2_trigger_frequency","s2_trigger_source","s3_skill","s3_trigger_type","s3_trigger_frequency","s3_trigger_source"
"Ahmose","infantry","ViperFormation","turn","every 4 turns","","PrayerOfFlame","battle_start","once at battle start","","BladeOfLight","attack","every attack","infantry"
"Alonso","marksman","Onslaught","turn","every turn; 40% chance","","IronStrength","attack","every attack; 20% chance","self.any (default)","PoisonHarpoon","attack","every attack; 50% chance","self.any (default)"
"Bahiti","marksman","SixthSense","battle_start","once at battle start","","Fluorescence","attack","every attack; 50% chance","self.any (default)","","","",""
"Blanchette","marksman","ArmedToTheTeeth","battle_start","once at battle start","","BloodHunter","turn","every 3 turns","","CrimsonSniper","attack","every 2 attacks","marksman"
"Bradley","marksman","VeteransMight","battle_start","once at battle start","","PowerShot","battle_start","once at battle start","","TacticalAssistance","turn","every 4 turns",""
"Edith","infantry","StrategicBalance","battle_start","once at battle start","","Ironclad","battle_start","once at battle start","","SteelSentinel","battle_start","once at battle start",""
"Flint","infantry","Pyromaniac","battle_start","once at battle start","","BurningResolve","battle_start","once at battle start","","Immolation","battle_start","once at battle start",""
"Fred","lancer","HydraulicSuppression","battle_start","once at battle start","","Acidification","battle_start","once at battle start","","Floodbringer","attack","every 4 attacks","lancer"
"Freya","lancer","FogOfWar","battle_start","once at battle start","","BloodMoonScythe","attack","every attack; 50% chance","lancer","NightsVengeance","battle_start","once at battle start",""
"Gatot","infantry","GoldenGuard","battle_start","once at battle start","","KingsBestowal","attack","every attack","infantry","RoyalLegion","battle_start","once at battle start",""
"Gordon","lancer","VenomInfusion","attack","every 2 attacks","lancer","ChemicalTerror","turn","every 3 turns","","ToxicRelease","turn","every 4 turns",""
"Greg","marksman","SwordOfJustice","turn","every turn; 20% chance","","DeterrenceOfLaw","attack","every attack; 20% chance","self.any (default)","LawAndOrder","battle_start","once at battle start",""
"Gregory","infantry","LegionOfTheSun","battle_start","once at battle start","","ChargedAssault","attack","every attack; 5/10/15/20/25% chance by level","self.any (default)","Unbroken","battle_start","once at battle start",""
"Gwen","marksman","EagleVision","attack","every attack","self.any","AirDominance","attack","first on attack 5; then every 6 attacks","self.any","Blastmaster","attack","every 4 attacks","marksman"
"Hector","infantry","SurvivalInstincts","turn","every turn; 40% chance","","Rampant","battle_start","once at battle start","","Blitz","attack","every attack; 25% chance","self.any (default)"
"Hendrik","marksman","WormsRavage","battle_start","once at battle start","","ArmorOfBarnacles","turn","every 4 turns","","DragonsHeir","turn","every 3 turns",""
"Jasser","marksman","TacticalGenius","battle_start","once at battle start","","NonCombatPlaceholder","battle_start","once at battle start","","","","",""
"Jeronimo","infantry","BattleManifesto","battle_start","once at battle start","","Swordmentor","battle_start","once at battle start","","EXpertSwordsmanship","turn","every 4 turns",""
"Jessie","lancer","StandOfArms","battle_start","once at battle start","","Bulwarks","battle_start","once at battle start","","","","",""
"Ling","lancer","FearsomeAura","battle_start","once at battle start","","NonCombatPlaceholder","battle_start","once at battle start","","","","",""
"Logan","infantry","LionStrike","battle_start","once at battle start","","LionIntimidation","battle_start","once at battle start","","LeaderInspiration","battle_start","once at battle start",""
"Lumak","lancer","TacticalDeception","battle_start","once at battle start","","NonCombatPlaceholder","battle_start","once at battle start","","","","",""
"Lynn","marksman","SongOfLion","turn","every turn; 40% chance","","MelancholicBallad","battle_start","once at battle start","","OonaiCadenza","attack","every 3 attacks","marksman"
"Magnus","infantry","Rapacious","battle_start","once at battle start","","IronPhalanx","attack","every attack; 40% chance","infantry","Iceman","battle_start","once at battle start",""
