skill	fixture_key	game_scores_A_minus_D	game_n	game_mean	game_sd	candidate	deterministic	sim_n	sim_mean	sim_sd	central95_low	central95_high	p	individual_score_errors_if_deterministic	initial_attacker	initial_defender
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-4900-vs-1000.json#0	3901	1	3901		current	True	1	3901	0	3901	3901		[0]	4900	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-4900-vs-1000.json#0	3901	1	3901		omit	True	1	4897	0	4897	4897		[996]	4900	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-4900-vs-1000.json#0	3901	1	3901		all_own	True	1	3901	0	3901	3901		[0]	4900	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-4950-vs-1000.json#0	4092	1	4092		current	True	1	4085	0	4085	4085		[-7]	4950	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-4950-vs-1000.json#0	4092	1	4092		omit	True	1	4947	0	4947	4947		[855]	4950	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-4950-vs-1000.json#0	4092	1	4092		all_own	True	1	4085	0	4085	4085		[-7]	4950	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-5000-vs-1000.json#0	4484	1	4484		current	True	1	4475	0	4475	4475		[-9]	5000	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-5000-vs-1000.json#0	4484	1	4484		omit	True	1	4997	0	4997	4997		[513]	5000	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-5000-vs-1000.json#0	4484	1	4484		all_own	True	1	4475	0	4475	4475		[-9]	5000	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-5050-vs-1000.json#0	4973	1	4973		current	True	1	4959	0	4959	4959		[-14]	5050	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-5050-vs-1000.json#0	4973	1	4973		omit	True	1	5047	0	5047	5047		[74]	5050	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s1-5050-vs-1000.json#0	4973	1	4973		all_own	True	1	4959	0	4959	4959		[-14]	5050	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s10-bradley-1000-inf-125-marksman-vs-5000-inf.json#0	-2296	1	-2296		current	True	1	-2274	0	-2274	-2274		[22]	1125	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s10-bradley-1000-inf-125-marksman-vs-5000-inf.json#0	-2296	1	-2296		omit	True	1	-3292	0	-3292	-3292		[-996]	1125	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s10-bradley-1000-inf-125-marksman-vs-5000-inf.json#0	-2296	1	-2296		all_own	True	1	-2274	0	-2274	-2274		[22]	1125	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.2-secondary-heroes-1000-inf-125-lancer-125-marksman.json#0	851	1	851		current	True	1	834	0	834	834		[-17]	1250	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.2-secondary-heroes-1000-inf-125-lancer-125-marksman.json#0	851	1	851		omit	True	1	584	0	584	584		[-267]	1250	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.2-secondary-heroes-1000-inf-125-lancer-125-marksman.json#0	851	1	851		all_own	True	1	834	0	834	834		[-17]	1250	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-1000-inf-0-lancer-1000-marksman.json#0	-4491	1	-4491		current	True	1	-4488	0	-4488	-4488		[3]	2000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-1000-inf-0-lancer-1000-marksman.json#0	-4491	1	-4491		omit	True	1	-4448	0	-4448	-4448		[43]	2000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-1000-inf-0-lancer-1000-marksman.json#0	-4491	1	-4491		all_own	True	1	-4488	0	-4488	-4488		[3]	2000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-1000-inf-1000-lancer-0-marksman.json#0	-4973	1	-4973		current	True	1	-4972	0	-4972	-4972		[1]	2000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-1000-inf-1000-lancer-0-marksman.json#0	-4973	1	-4973		omit	True	1	-4930	0	-4930	-4930		[43]	2000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-1000-inf-1000-lancer-0-marksman.json#0	-4973	1	-4973		all_own	True	1	-4972	0	-4972	-4972		[1]	2000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-1000-inf-1000-lancer-1000-marksman.json#0	-3064	1	-3064		current	True	1	-3054	0	-3054	-3054		[10]	3000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-1000-inf-1000-lancer-1000-marksman.json#0	-3064	1	-3064		omit	True	1	-3174	0	-3174	-3174		[-110]	3000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-1000-inf-1000-lancer-1000-marksman.json#0	-3064	1	-3064		all_own	True	1	-3049	0	-3049	-3049		[15]	3000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-2000-inf-0-lancer-1000-marksman.json#0	1281	1	1281		current	True	1	1327	0	1327	1327		[46]	3000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-2000-inf-0-lancer-1000-marksman.json#0	1281	1	1281		omit	True	1	-2400	0	-2400	-2400		[-3681]	3000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-2000-inf-0-lancer-1000-marksman.json#0	1281	1	1281		all_own	True	1	1327	0	1327	1327		[46]	3000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-2000-inf-1000-lancer-0-marksman.json#0	-4338	1	-4338		current	True	1	-4334	0	-4334	-4334		[4]	3000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-2000-inf-1000-lancer-0-marksman.json#0	-4338	1	-4338		omit	True	1	-4260	0	-4260	-4260		[78]	3000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s15.3-2000-inf-1000-lancer-0-marksman.json#0	-4338	1	-4338		all_own	True	1	-4334	0	-4334	-4334		[4]	3000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s16-1500-inf-1500-marksman-vs-1000-inf.json#0	2777	1	2777		current	True	1	2777	0	2777	2777		[0]	3000	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s16-1500-inf-1500-marksman-vs-1000-inf.json#0	2777	1	2777		omit	True	1	2791	0	2791	2791		[14]	3000	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s16-1500-inf-1500-marksman-vs-1000-inf.json#0	2777	1	2777		all_own	True	1	2777	0	2777	2777		[0]	3000	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s16-2000-inf-2000-marksman-vs-1000-inf.json#0	3809	1	3809		current	True	1	3809	0	3809	3809		[0]	4000	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s16-2000-inf-2000-marksman-vs-1000-inf.json#0	3809	1	3809		omit	True	1	3821	0	3821	3821		[12]	4000	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s16-2000-inf-2000-marksman-vs-1000-inf.json#0	3809	1	3809		all_own	True	1	3809	0	3809	3809		[0]	4000	1000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s16-2000-inf-2000-marksman-vs-5000-inf.json#0	396	1	396		current	True	1	394	0	394	394		[-2]	4000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s16-2000-inf-2000-marksman-vs-5000-inf.json#0	396	1	396		omit	True	1	1351	0	1351	1351		[955]	4000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s16-2000-inf-2000-marksman-vs-5000-inf.json#0	396	1	396		all_own	True	1	394	0	394	394		[-2]	4000	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s16-7500-inf-vs-5000-inf.json#0	-2513	1	-2513		current	True	1	-2514	0	-2514	-2514		[-1]	7500	5000
hero:Gatot:GoldenGuard	testcases/gatot_verified/s16-7500-inf-vs-5000-inf.json#0	-2513	1	-2513		omit	True	1	-2228	0	-2228	-2228		[285]	7500	5000
