skill	fixture_key	game_scores_A_minus_D	game_n	game_mean	game_sd	candidate	deterministic	sim_n	sim_mean	sim_sd	central95_low	central95_high	p	individual_score_errors_if_deterministic	initial_attacker	initial_defender
hero:Hector:SurvivalInstincts	testcases/3-testcases_mixed-heroes-not-verified.json#5	-2295	1	-2295		current	False	1000	-2271.689	9.701566852802674	-2291	-2253	0.017549		11000	2500
hero:Hector:SurvivalInstincts	testcases/3-testcases_mixed-heroes-not-verified.json#5	-2295	1	-2295		omit	False	1000	-2241.257	8.31685764703962	-2258	-2225	5e-05		11000	2500
hero:Hector:SurvivalInstincts	testcases/3-testcases_mixed-heroes-not-verified.json#5	-2295	1	-2295		infantry_only	False	1000	-2271.689	9.701566852802674	-2291	-2253	0.017549		11000	2500
hero:Hector:SurvivalInstincts	testcases/emulator_verified/hector_patrick_combo.json#0	-590	1	-590		current	False	1000	-590.774	0.6851229038598864	-592	-590	0.724664		900	600
hero:Hector:SurvivalInstincts	testcases/emulator_verified/hector_patrick_combo.json#0	-590	1	-590		omit	False	1000	-589.894	0.6173695369429425	-591	-589	1		900	600
hero:Hector:SurvivalInstincts	testcases/emulator_verified/hector_patrick_combo.json#0	-590	1	-590		infantry_only	False	1000	-590.774	0.6851229038598864	-592	-590	0.724664		900	600
hero:Hector:SurvivalInstincts	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		current	False	1000	1588.164	2.9044000309082	1583	1594	0.0074		1700	300
hero:Hector:SurvivalInstincts	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		omit	False	1000	1580.015	2.9108844443310202	1575	1586	5e-05		1700	300
hero:Hector:SurvivalInstincts	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		infantry_only	False	1000	1588.164	2.9044000309082	1583	1594	0.0074		1700	300
hero:Hector:SurvivalInstincts	testcases/emulator_verified/hector_solo.json#0	-402,-409,-373,-403,-385	5	-394.4	14.926486525636232	current	False	1000	-386.602	23.7848547465675	-410	-326	0.991		4069	600
hero:Hector:SurvivalInstincts	testcases/emulator_verified/hector_solo.json#0	-402,-409,-373,-403,-385	5	-394.4	14.926486525636232	omit	False	1000	-219.789	50.4299678828042	-293	-98	5e-05		4069	600
hero:Hector:SurvivalInstincts	testcases/emulator_verified/hector_solo.json#0	-402,-409,-373,-403,-385	5	-394.4	14.926486525636232	infantry_only	False	1000	-384.984	26.091387554219953	-410	-317	0.936653		4069	600
hero:Hector:SurvivalInstincts	testcases/emulator_verified/norah_hector_zinman_combo.json#0	-270,-271,-269,-270,-272	5	-270.4	1.140175425099138	current	False	1000	-269.491	1.3674022044697582	-272	-267	0.334433		1200	300
hero:Hector:SurvivalInstincts	testcases/emulator_verified/norah_hector_zinman_combo.json#0	-270,-271,-269,-270,-272	5	-270.4	1.140175425099138	omit	False	1000	-266.334	1.3304939737609511	-269	-264	0.00025		1200	300
hero:Hector:SurvivalInstincts	testcases/emulator_verified/norah_hector_zinman_combo.json#0	-270,-271,-269,-270,-272	5	-270.4	1.140175425099138	infantry_only	False	1000	-269.491	1.3674022044697582	-272	-267	0.334433		1200	300
