skill	fixture_key	game_scores_A_minus_D	game_n	game_mean	game_sd	candidate	sim_n	sim_mean	sim_sd	central95_low	central95_high	p	initial_attacker	initial_defender
hero:Mia:BadLuckStreak	testcases/3-testcases_mixed-heroes-not-verified.json#5	-2295	1	-2295		current	1000	-2271.998	9.850737689789176	-2291	-2254	0.014949	11000	2500
hero:Mia:BadLuckStreak	testcases/3-testcases_mixed-heroes-not-verified.json#5	-2295	1	-2295		omit	1000	-2289.613	9.010461665165634	-2307	-2273	0.651917	11000	2500
hero:Mia:BadLuckStreak	testcases/3-testcases_mixed-heroes-not-verified.json#5	-2295	1	-2295		lancer_only	1000	-2279.602	8.910499031647635	-2297	-2262	0.104045	11000	2500
hero:Mia:BadLuckStreak	testcases/emulator_verified/greg_mia_defender_current.json#0	3345,3390,3320,3367,3363,3341,3360,3355,3339,3346,3344,3341,3373,3344,3329,3354,3351,3366	18	3351.5555555555557	16.589231880321794	current	1000	3351.309	19.10970171665949	3317	3390	0.79026	3969	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/greg_mia_defender_current.json#0	3345,3390,3320,3367,3363,3341,3360,3355,3339,3346,3344,3341,3373,3344,3329,3354,3351,3366	18	3351.5555555555557	16.589231880321794	omit	1000	3469.65	12.809980312069007	3446	3496	0.0001	3969	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/greg_mia_defender_current.json#0	3345,3390,3320,3367,3363,3341,3360,3355,3339,3346,3344,3341,3373,3344,3329,3354,3351,3366	18	3351.5555555555557	16.589231880321794	lancer_only	1000	3401.643	19.78274267911076	3362	3440	5e-05	3969	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_only_defender_current.json#0	3560,3539,3556,3525,3551,3564,3546,3540,3528,3530	10	3543.9	13.771548771127943	current	1000	3544.451	16.716729585898307	3514	3577	0.99995	4069	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_only_defender_current.json#0	3560,3539,3556,3525,3551,3564,3546,3540,3528,3530	10	3543.9	13.771548771127943	omit	1000	3644.98	10.939436515253954	3627	3664	5e-05	4069	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_only_defender_current.json#0	3560,3539,3556,3525,3551,3564,3546,3540,3528,3530	10	3543.9	13.771548771127943	lancer_only	1000	3587.439	17.705755357306085	3554	3623	5e-05	4069	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_only_defender_current.json#1	3461,3451,3442,3462,3436,3460,3431,3469,3460,3434,3449,3434,3445,3452,3422,3453,3479,3472,3438,3433	20	3449.15	15.435008055851819	current	1000	3444.551	15.873038535590862	3415	3476	0.559022	3969	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_only_defender_current.json#1	3461,3451,3442,3462,3436,3460,3431,3469,3460,3434,3449,3434,3445,3452,3422,3453,3479,3472,3438,3433	20	3449.15	15.435008055851819	omit	1000	3545.584	10.73490485203211	3528	3565	5e-05	3969	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_only_defender_current.json#1	3461,3451,3442,3462,3436,3460,3431,3469,3460,3434,3449,3434,3445,3452,3422,3453,3479,3472,3438,3433	20	3449.15	15.435008055851819	lancer_only	1000	3487.445	17.72182377855162	3453	3519	5e-05	3969	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#0	-260	1	-260		current	1000	-266.826	9.172451027825554	-290	-251	0.540173	2800	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#0	-260	1	-260		omit	1000	-206.285	16.07377183927721	-218	-156	0.00265	2800	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#0	-260	1	-260		lancer_only	1000	-241.507	12.414026706071615	-264	-217	0.264437	2800	600
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#1	1293	1	1293		current	1000	1299.593	9.316552428293905	1286	1322	0.79826	1960	300
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#1	1293	1	1293		omit	1000	1351.614	8.26385474795484	1339	1371	5e-05	1960	300
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#1	1293	1	1293		lancer_only	1000	1321.868	10.649506466873856	1305	1346	0.0005	1960	300
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#2	-180	1	-180		current	1000	-181.665	3.7543135018096185	-191	-175	1	1260	300
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#2	-180	1	-180		omit	1000	-161.669	3.7514680476464677	-169	-157	0.0001	1260	300
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#2	-180	1	-180		lancer_only	1000	-175.028	4.3761131573996455	-183	-168	0.627469	1260	300
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#3	879	1	879		current	1000	879.707	4.179068749807249	873	891	1	1260	180
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#3	879	1	879		omit	1000	908.335	3.3965145828203687	904	918	5e-05	1260	180
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#3	879	1	879		lancer_only	1000	892.095	4.538565144797813	884	904	0.00735	1260	180
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#4	967	1	967		current	1000	972.045	4.59914417333562	965	982	0.475176	1260	150
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#4	967	1	967		omit	1000	993.542	3.9787015552898852	988	1001	5e-05	1260	150
hero:Mia:BadLuckStreak	testcases/emulator_verified/mia_solo.json#4	967	1	967		lancer_only	1000	981.347	4.703053232710597	974	991	5e-05	1260	150
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#0	-181	1	-181		current	1000	-172.297	4.163667509195111	-181	-169	0.141643	4000	400
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#0	-181	1	-181		omit	1000	-114.279	7.976514513481692	-130	-106	5e-05	4000	400
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#0	-181	1	-181		lancer_only	1000	-151.477	6.102024721820281	-164	-139	5e-05	4000	400
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#1	1670,1592,1661,1664,1594,1604,1591	7	1625.142857142857	37.61395384441157	current	1000	1613.326	40.87586770406904	1522	1675	0.871806	4000	350
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#1	1670,1592,1661,1664,1594,1604,1591	7	1625.142857142857	37.61395384441157	omit	1000	2021.572	8.266992147036259	2005	2038	0.00015	4000	350
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#1	1670,1592,1661,1664,1594,1604,1591	7	1625.142857142857	37.61395384441157	lancer_only	1000	1808.888	41.784056329697876	1729	1892	5e-05	4000	350
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#2	1127,1118,1118,1128,1127,1127	6	1124.1666666666667	4.792355023020171	current	1000	1124.669	4.667678890650699	1113	1128	0.890055	2000	200
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#2	1127,1118,1118,1128,1127,1127	6	1124.1666666666667	4.792355023020171	omit	1000	1042	0	1042	1042	5e-05	2000	200
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#2	1127,1118,1118,1128,1127,1127	6	1124.1666666666667	4.792355023020171	lancer_only	1000	1088.625	6.6112088972504175	1072	1102	5e-05	2000	200
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#3	671	1	671		current	1000	662.537	13.667751769711034	623	672	0.307085	2000	250
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#3	671	1	671		omit	1000	292	0	292	292	5e-05	2000	250
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#3	671	1	671		lancer_only	1000	554.718	31.1035674466436	467	619	5e-05	2000	250
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#4	-119,-121,-123,-124	4	-121.75	2.217355782608345	current	1000	-123.146	2.9734702832759923	-129	-119	0.535623	2000	250
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#4	-119,-121,-123,-124	4	-121.75	2.217355782608345	omit	1000	-123.99	3.9781560710617954	-129	-117	0.0006	2000	250
hero:Mia:BadLuckStreak	testcases/heroes_unittests/Mia_tc.json#4	-119,-121,-123,-124	4	-121.75	2.217355782608345	lancer_only	1000	-124.058	3.9344778708382933	-130	-116	0.274386	2000	250
hero:Mia:LuckyCharm	testcases/emulator_verified/greg_mia_defender_current.json#0	3345,3390,3320,3367,3363,3341,3360,3355,3339,3346,3344,3341,3373,3344,3329,3354,3351,3366	18	3351.5555555555557	16.589231880321794	current	1000	3351.309	19.10970171665949	3317	3390	0.79026	3969	600
