skill	fixture_key	game_scores_A_minus_D	game_n	game_mean	game_sd	candidate	deterministic	sim_n	sim_mean	sim_sd	central95_low	central95_high	p	individual_score_errors_if_deterministic	initial_attacker	initial_defender
hero:Philly:VigorTactics	testcases/3-testcases_mixed-heroes-not-verified.json#5	-2295	1	-2295		current	False	1000	-2271.406	9.624021289761702	-2291	-2253	0.022849		11000	2500
hero:Philly:VigorTactics	testcases/3-testcases_mixed-heroes-not-verified.json#5	-2295	1	-2295		omit	False	1000	-2259.323	9.886881278816984	-2278	-2240	5e-05		11000	2500
hero:Philly:VigorTactics	testcases/3-testcases_mixed-heroes-not-verified.json#5	-2295	1	-2295		omit_attack	False	1000	-2264.176	9.682394991569614	-2283	-2245	0.00255		11000	2500
hero:Philly:VigorTactics	testcases/3-testcases_mixed-heroes-not-verified.json#5	-2295	1	-2295		omit_defense	False	1000	-2266.706	9.853865366578875	-2287	-2248	0.011499		11000	2500
hero:Philly:VigorTactics	testcases/3-testcases_mixed-heroes-not-verified.json#5	-2295	1	-2295		lancer_only	False	1000	-2261.669	9.716988157801692	-2281	-2243	0.00115		11000	2500
hero:Philly:VigorTactics	testcases/emulator_verified/philly_bahiti_combo.json#0	-556	1	-556		current	False	1000	-558.312	1.8455519667736329	-561	-556	0.446378		1200	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_bahiti_combo.json#0	-556	1	-556		omit	False	1000	-554.081	1.7422613106174585	-558	-551	0.360682		1200	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_bahiti_combo.json#0	-556	1	-556		omit_attack	False	1000	-555.878	1.670900328537852	-560	-553	1		1200	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_bahiti_combo.json#0	-556	1	-556		omit_defense	False	1000	-556.611	1.91189286685586	-559	-554	0.846658		1200	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_bahiti_combo.json#0	-556	1	-556		lancer_only	False	1000	-554.927	1.812996954756947	-559	-551	0.452977		1200	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_bahiti_combo.json#1	-463,-456,-455,-459	4	-458.25	3.593976442141304	current	False	1000	-454.226	4.541536034157347	-462	-446	0.189891		1200	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_bahiti_combo.json#1	-463,-456,-455,-459	4	-458.25	3.593976442141304	omit	False	1000	-439.35	4.421204253034125	-448	-432	5e-05		1200	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_bahiti_combo.json#1	-463,-456,-455,-459	4	-458.25	3.593976442141304	omit_attack	False	1000	-445.68	4.266356970742344	-454	-438	0.0001		1200	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_bahiti_combo.json#1	-463,-456,-455,-459	4	-458.25	3.593976442141304	omit_defense	False	1000	-448.222	4.727268033765706	-456	-440	0.00015		1200	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_bahiti_combo.json#1	-463,-456,-455,-459	4	-458.25	3.593976442141304	lancer_only	False	1000	-442.518	4.348630426535087	-452	-434	5e-05		1200	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_solo.json#0	2254,2252	2	2253	1.4142135623730951	current	False	1000	2252.722	83.80477287097644	2074	2411	0.613769		4069	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_solo.json#0	2254,2252	2	2253	1.4142135623730951	omit	False	1000	2610.559	29.712410645155433	2536	2661	5e-05		4069	600
hero:Philly:VigorTactics	testcases/emulator_verified/philly_solo.json#0	2254,2252	2	2253	1.4142135623730951	omit_attack	False	1000	2510.66	63.27220378469344	2363	2601	5e-05		4069	600
