fixture_key	initial_attacker	initial_defender	raw_sim_A_minus_D	recorded_game_A_minus_D	max_absolute_raw_error	adjusted_sim_A_minus_D	adjustment	runner_reported_pass
testcases/1-testcases_no-heroes_t6_single-type_nc.json#5	9000	1000	519	525	6	525	0.004	True
testcases/1-testcases_no-heroes_t6_single-type_nc.json#8	5000	600	983	986	3	986	0.003	True
testcases/emulator_verified/ahmose_solo_nc.json#0	4069	600	2615	2633	18	2616	0.05	True
testcases/emulator_verified/gordon_wayne_s1_extra_overlap_lvl2.json#0	255	1000	8	5	3	7	-0.05	True
testcases/emulator_verified/gordon_wayne_s1_extra_overlap_nc.json#0	260	1000	-3	-19	16	-11	-0.05	True
testcases/emulator_verified/gwen_blastmaster_cadence_800m_vs_1200i_100l_100m.json#0	800	1400	-534	-563	29	-535	-0.05	False
testcases/emulator_verified/gwen_blastmaster_fanout_800m_vs_600_each.json#0	800	1800	-1388	-1397	9	-1388	-0.05	True
testcases/emulator_verified/gwen_blastmaster_small_timing_550m_vs_810i_45l_45m.json#0	550	900	76	-24	100	75	-0.05	False
testcases/emulator_verified/gwen_solo_nc.json#0	4069	600	3011	3006,3006,3006,3006,3006	5	3010	-0.05	True
testcases/emulator_verified/hendrik_dragons_heir_250m_vs_400i_100l_100m.json#0	250	600	-476	-471	5	-476	0.05	False
testcases/gatot_verified/s1-4950-vs-1000.json#0	4950	1000	4085	4092	7	4092	0.006	True
testcases/gatot_verified/s1-5000-vs-1000.json#0	5000	1000	4475	4484	9	4484	0.007	True
testcases/gatot_verified/s1-5050-vs-1000.json#0	5050	1000	4959	4973	14	4973	0.007	True
testcases/gatot_verified/s10-bradley-1000-inf-125-marksman-vs-5000-inf.json#0	1125	5000	-2274	-2296	22	-2297	-0.02	True
testcases/gatot_verified/s15.2-secondary-heroes-1000-inf-125-lancer-125-marksman.json#0	1250	5000	834	851	17	837	0.05	True
testcases/gatot_verified/s15.3-1000-inf-0-lancer-1000-marksman.json#0	2000	5000	-4488	-4491	3	-4491	-0.038	True
testcases/gatot_verified/s15.3-1000-inf-1000-lancer-1000-marksman.json#0	3000	5000	-3054	-3064	10	-3064	-0.032	True
testcases/gatot_verified/s15.3-2000-inf-0-lancer-1000-marksman.json#0	3000	5000	1327	1281	46	1281	-0.025	True
testcases/gatot_verified/s15.3-2000-inf-1000-lancer-0-marksman.json#0	3000	5000	-4334	-4338	4	-4338	-0.029	True
testcases/gatot_verified/s2-health-1.1-4950-vs-1000.json#0	4950	1000	4038	4043	5	4043	0.006	True
testcases/gatot_verified/s2-health-1.1-5000-vs-1000.json#0	5000	1000	4321	4327	6	4327	0.007	True
testcases/gatot_verified/s2-health-1.1-5050-vs-1000.json#0	5050	1000	4634	4641	7	4641	0.007	True
testcases/gatot_verified/s2-health-1.1-5100-vs-1000.json#0	5100	1000	5007	5017	10	5017	0.007	True
testcases/gatot_verified/s3-5000-inf-vs-1000-inf-10-lancer.json#0	5000	1010	4996	4573	423	4996	-0.05	False
testcases/heroes_unittests/Flint_tc.json#1	7000	200	5762	5720,5756,5736,5715,5733,5736	47	5760	-0.05	True
