skill	fixture_key	game_scores_A_minus_D	game_n	game_mean	game_sd	candidate	deterministic	sim_n	sim_mean	sim_sd	central95_low	central95_high	p	individual_score_errors_if_deterministic	initial_attacker	initial_defender
hero:Wayne:ThunderStrike	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_lvl2.json#0	5	1	5		current	True	1	8	0	8	8		[3]	255	1000
hero:Wayne:ThunderStrike	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_lvl2.json#0	5	1	5		omit	True	1	-156	0	-156	-156		[-161]	255	1000
hero:Wayne:ThunderStrike	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_lvl2.json#0	5	1	5		marksman_only	True	1	-156	0	-156	-156		[-161]	255	1000
hero:Wayne:ThunderStrike	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_lvl2.json#0	5	1	5		normal_kind	True	1	8	0	8	8		[3]	255	1000
hero:Wayne:ThunderStrike	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_nc.json#0	-19	1	-19		current	True	1	-3	0	-3	-3		[16]	260	1000
hero:Wayne:ThunderStrike	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_nc.json#0	-19	1	-19		omit	True	1	-106	0	-106	-106		[-87]	260	1000
hero:Wayne:ThunderStrike	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_nc.json#0	-19	1	-19		marksman_only	True	1	-106	0	-106	-106		[-87]	260	1000
hero:Wayne:ThunderStrike	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_nc.json#0	-19	1	-19		normal_kind	True	1	-3	0	-3	-3		[16]	260	1000
hero:Wayne:ThunderStrike	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		current	False	1000	1588.068	2.913393873794591	1582	1594	0.005		1700	300
hero:Wayne:ThunderStrike	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		omit	False	1000	1579.062	3.2231265169931818	1573	1585	5e-05		1700	300
hero:Wayne:ThunderStrike	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		marksman_only	False	1000	1579.062	3.2231265169931818	1573	1585	5e-05		1700	300
hero:Wayne:ThunderStrike	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		normal_kind	False	1000	1588.068	2.913393873794591	1582	1594	0.005		1700	300
hero:Wayne:ThunderStrike	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		current	False	1000	423.381	1.826245923793994	420	427	0.078446		510	888
hero:Wayne:ThunderStrike	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		omit	False	1000	416.503	2.0362065556168716	413	421	5e-05		510	888
hero:Wayne:ThunderStrike	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		marksman_only	False	1000	420.412	1.9073263731972834	417	424	0.0014		510	888
hero:Wayne:ThunderStrike	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		normal_kind	False	1000	423.381	1.826245923793994	420	427	0.078446		510	888
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	current	False	1000	219.663	79.58737073544127	60	373	0.857807		1200	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	omit	False	1000	58.2	115.43791366752899	-136	272	0.00265		1200	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	marksman_only	False	1000	195.839	86.75752386362203	40	358	0.169192		1200	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	normal_kind	False	1000	219.663	79.58737073544127	60	373	0.857807		1200	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_mixed_solo.json#1	394,352,382,284,322,328,364	7	346.57142857142856	38.08261695689668	current	False	1000	308.903	47.86674018372055	210	400	0.035098		1200	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_mixed_solo.json#1	394,352,382,284,322,328,364	7	346.57142857142856	38.08261695689668	omit	False	1000	209.397	82.57683891579609	-34	340	0.0002		1200	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_mixed_solo.json#1	394,352,382,284,322,328,364	7	346.57142857142856	38.08261695689668	marksman_only	False	1000	292.992	49.00258349504836	206	393	0.0033		1200	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_mixed_solo.json#1	394,352,382,284,322,328,364	7	346.57142857142856	38.08261695689668	normal_kind	False	1000	308.903	47.86674018372055	210	400	0.035098		1200	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_reina_combo.json#0	1613,1531,1542,1549,1568,1545,1543,1584	8	1559.375	27.375366925133886	current	False	1000	1550.971	15.004642558165056	1527	1583	0.082746		1800	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_reina_combo.json#0	1613,1531,1542,1549,1568,1545,1543,1584	8	1559.375	27.375366925133886	omit	False	1000	1533.49	16.513709534886544	1503	1569	0.00065		1800	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_reina_combo.json#0	1613,1531,1542,1549,1568,1545,1543,1584	8	1559.375	27.375366925133886	marksman_only	False	1000	1543.195	16.245519132729857	1512	1576	0.015499		1800	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_reina_combo.json#0	1613,1531,1542,1549,1568,1545,1543,1584	8	1559.375	27.375366925133886	normal_kind	False	1000	1552.016	14.603458665843677	1528	1583	0.054197		1800	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_reina_wuming_combo.json#0	1693,1695,1698,1694,1706,1685,1697,1684	8	1694	7.091242083423347	current	False	1000	1697.888	6.585653105564156	1685	1712	0.333083		1800	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_reina_wuming_combo.json#0	1693,1695,1698,1694,1706,1685,1697,1684	8	1694	7.091242083423347	omit	False	1000	1692.668	6.848845353976307	1681	1706	0.652017		1800	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_reina_wuming_combo.json#0	1693,1695,1698,1694,1706,1685,1697,1684	8	1694	7.091242083423347	marksman_only	False	1000	1696.321	6.6777654609571115	1684	1711	0.80946		1800	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_reina_wuming_combo.json#0	1693,1695,1698,1694,1706,1685,1697,1684	8	1694	7.091242083423347	normal_kind	False	1000	1698.617	6.631461926851965	1686	1713	0.188591		1800	600
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_s1_solo.json#0	251,255,247,256,250	5	251.8	3.7013511046643495	current	False	1000	253.872	4.036571553919222	246	262	0.630768		500	100
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_s1_solo.json#0	251,255,247,256,250	5	251.8	3.7013511046643495	omit	False	1000	226.131	4.853596233350721	217	236	5e-05		500	100
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_s1_solo.json#0	251,255,247,256,250	5	251.8	3.7013511046643495	marksman_only	False	1000	226.131	4.853596233350721	217	236	5e-05		500	100
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_s1_solo.json#0	251,255,247,256,250	5	251.8	3.7013511046643495	normal_kind	False	1000	253.872	4.036571553919222	246	262	0.630768		500	100
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_s2_solo.json#0	359,364	2	361.5	3.5355339059327378	current	False	1000	362.385	3.00229725190376	359	369	0.99395		400	100
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_s2_solo.json#0	359,364	2	361.5	3.5355339059327378	omit	False	1000	360.248	3.0297979595470803	357	367	0.544123		400	100
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_s2_solo.json#0	359,364	2	361.5	3.5355339059327378	marksman_only	False	1000	362.385	3.00229725190376	359	369	0.99395		400	100
hero:Wayne:ThunderStrike	testcases/emulator_verified/wayne_s2_solo.json#0	359,364	2	361.5	3.5355339059327378	normal_kind	False	1000	362.385	3.00229725190376	359	369	0.99395		400	100
hero:Wayne:ThunderStrike	testcases/gatot_verified/s32-current-750-marksman-wayne-vs-3000-inf.json#0	-2738	1	-2738		current	True	1	-2738	0	-2738	-2738		[0]	750	3000
hero:Wayne:ThunderStrike	testcases/gatot_verified/s32-current-750-marksman-wayne-vs-3000-inf.json#0	-2738	1	-2738		omit	True	1	-2752	0	-2752	-2752		[-14]	750	3000
hero:Wayne:ThunderStrike	testcases/gatot_verified/s32-current-750-marksman-wayne-vs-3000-inf.json#0	-2738	1	-2738		marksman_only	True	1	-2738	0	-2738	-2738		[0]	750	3000
hero:Wayne:ThunderStrike	testcases/gatot_verified/s32-current-750-marksman-wayne-vs-3000-inf.json#0	-2738	1	-2738		normal_kind	True	1	-2738	0	-2738	-2738		[0]	750	3000
hero:Wayne:ThunderStrike	testcases/gatot_verified/s33-current-500-marksman-wayne3-vs-5000-gatot3-inf.json#0	-4977	1	-4977		current	False	1000	-4971.956	4.627902492650617	-4979	-4962	0.336683		500	5000
hero:Wayne:ThunderStrike	testcases/gatot_verified/s33-current-500-marksman-wayne3-vs-5000-gatot3-inf.json#0	-4977	1	-4977		omit	False	1000	-4977.988	4.610760795694679	-4985	-4968	0.715914		500	5000
hero:Wayne:ThunderStrike	testcases/gatot_verified/s33-current-500-marksman-wayne3-vs-5000-gatot3-inf.json#0	-4977	1	-4977		marksman_only	False	1000	-4971.956	4.627902492650617	-4979	-4962	0.336683		500	5000
hero:Wayne:ThunderStrike	testcases/gatot_verified/s33-current-500-marksman-wayne3-vs-5000-gatot3-inf.json#0	-4977	1	-4977		normal_kind	False	1000	-4971.956	4.627902492650617	-4979	-4962	0.336683		500	5000
hero:Wayne:ThunderStrike	testcases/gatot_verified/s42-current-wayne-skill-shield-scope-200-inf-vs-450-inf.json#0	32	1	32		current	False	1000	31.23	1.80564679834136	27	32	1		200	450
hero:Wayne:ThunderStrike	testcases/gatot_verified/s42-current-wayne-skill-shield-scope-200-inf-vs-450-inf.json#0	32	1	32		omit	False	1000	31.23	1.80564679834136	27	32	1		200	450
hero:Wayne:ThunderStrike	testcases/gatot_verified/s42-current-wayne-skill-shield-scope-200-inf-vs-450-inf.json#0	32	1	32		marksman_only	False	1000	31.23	1.80564679834136	27	32	1		200	450
hero:Wayne:ThunderStrike	testcases/gatot_verified/s42-current-wayne-skill-shield-scope-200-inf-vs-450-inf.json#0	32	1	32		normal_kind	False	1000	31.23	1.80564679834136	27	32	1		200	450
hero:Wayne:RoundaboutHit	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_lvl2.json#0	5	1	5		current	True	1	8	0	8	8		[3]	255	1000
hero:Wayne:RoundaboutHit	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_lvl2.json#0	5	1	5		omit	True	1	8	0	8	8		[3]	255	1000
hero:Wayne:RoundaboutHit	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_lvl2.json#0	5	1	5		omit_lancer	True	1	8	0	8	8		[3]	255	1000
hero:Wayne:RoundaboutHit	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_lvl2.json#0	5	1	5		omit_marksman	True	1	8	0	8	8		[3]	255	1000
hero:Wayne:RoundaboutHit	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_lvl2.json#0	5	1	5		first_attack	True	1	8	0	8	8		[3]	255	1000
hero:Wayne:RoundaboutHit	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_nc.json#0	-19	1	-19		current	True	1	-3	0	-3	-3		[16]	260	1000
hero:Wayne:RoundaboutHit	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_nc.json#0	-19	1	-19		omit	True	1	-3	0	-3	-3		[16]	260	1000
hero:Wayne:RoundaboutHit	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_nc.json#0	-19	1	-19		omit_lancer	True	1	-3	0	-3	-3		[16]	260	1000
hero:Wayne:RoundaboutHit	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_nc.json#0	-19	1	-19		omit_marksman	True	1	-3	0	-3	-3		[16]	260	1000
hero:Wayne:RoundaboutHit	testcases/emulator_verified/gordon_wayne_s1_extra_overlap_nc.json#0	-19	1	-19		first_attack	True	1	-3	0	-3	-3		[16]	260	1000
hero:Wayne:RoundaboutHit	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		current	False	1000	1588.068	2.913393873794591	1582	1594	0.005		1700	300
hero:Wayne:RoundaboutHit	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		omit	False	1000	1588.068	2.913393873794591	1582	1594	0.005		1700	300
hero:Wayne:RoundaboutHit	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		omit_lancer	False	1000	1588.068	2.913393873794591	1582	1594	0.005		1700	300
hero:Wayne:RoundaboutHit	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		omit_marksman	False	1000	1588.068	2.913393873794591	1582	1594	0.005		1700	300
hero:Wayne:RoundaboutHit	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		first_attack	False	1000	1588.068	2.913393873794591	1582	1594	0.005		1700	300
hero:Wayne:RoundaboutHit	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		current	False	1000	423.381	1.826245923793994	420	427	0.078446		510	888
hero:Wayne:RoundaboutHit	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		omit	False	1000	423.381	1.826245923793994	420	427	0.078446		510	888
hero:Wayne:RoundaboutHit	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		omit_lancer	False	1000	423.381	1.826245923793994	420	427	0.078446		510	888
hero:Wayne:RoundaboutHit	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		omit_marksman	False	1000	423.381	1.826245923793994	420	427	0.078446		510	888
hero:Wayne:RoundaboutHit	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		first_attack	False	1000	423.381	1.826245923793994	420	427	0.078446		510	888
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	current	False	1000	219.663	79.58737073544127	60	373	0.857807		1200	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	omit	False	1000	55.912	116.66321855050367	-148	274	0.00245		1200	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	omit_lancer	False	1000	119.254	106.25041475041239	-100	299	0.067447		1200	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	omit_marksman	False	1000	164.082	90.39031853957424	-38	316	0.249888		1200	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	first_attack	False	1000	230.214	86.2243285786491	65	392	0.880856		1200	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_mixed_solo.json#1	394,352,382,284,322,328,364	7	346.57142857142856	38.08261695689668	current	False	1000	308.903	47.86674018372055	210	400	0.035098		1200	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_mixed_solo.json#1	394,352,382,284,322,328,364	7	346.57142857142856	38.08261695689668	omit	False	1000	126.827	126.84721237097125	-127	346	0.00015		1200	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_mixed_solo.json#1	394,352,382,284,322,328,364	7	346.57142857142856	38.08261695689668	omit_lancer	False	1000	246.874	76.3296557069423	57	366	0.0007		1200	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_mixed_solo.json#1	394,352,382,284,322,328,364	7	346.57142857142856	38.08261695689668	omit_marksman	False	1000	274.413	61.41359833995294	134	382	0.0015		1200	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_mixed_solo.json#1	394,352,382,284,322,328,364	7	346.57142857142856	38.08261695689668	first_attack	False	1000	312.552	49.162630729653394	212	401	0.106195		1200	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_reina_combo.json#0	1613,1531,1542,1549,1568,1545,1543,1584	8	1559.375	27.375366925133886	current	False	1000	1550.971	15.004642558165056	1527	1583	0.082746		1800	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_reina_combo.json#0	1613,1531,1542,1549,1568,1545,1543,1584	8	1559.375	27.375366925133886	omit	False	1000	1535.398	17.08330867939334	1505	1571	0.0021		1800	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_reina_combo.json#0	1613,1531,1542,1549,1568,1545,1543,1584	8	1559.375	27.375366925133886	omit_lancer	False	1000	1541.074	16.474523784739088	1511	1576	0.021299		1800	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_reina_combo.json#0	1613,1531,1542,1549,1568,1545,1543,1584	8	1559.375	27.375366925133886	omit_marksman	False	1000	1545.774	15.456449327896298	1521	1579	0.074096		1800	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_reina_combo.json#0	1613,1531,1542,1549,1568,1545,1543,1584	8	1559.375	27.375366925133886	first_attack	False	1000	1552.169	14.973531502142231	1528	1584	0.083296		1800	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_reina_wuming_combo.json#0	1693,1695,1698,1694,1706,1685,1697,1684	8	1694	7.091242083423347	current	False	1000	1697.888	6.585653105564156	1685	1712	0.333083		1800	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_reina_wuming_combo.json#0	1693,1695,1698,1694,1706,1685,1697,1684	8	1694	7.091242083423347	omit	False	1000	1692.59	6.976716604146584	1680	1707	0.60027		1800	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_reina_wuming_combo.json#0	1693,1695,1698,1694,1706,1685,1697,1684	8	1694	7.091242083423347	omit_lancer	False	1000	1694.972	6.795247706404197	1683	1709	0.834208		1800	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_reina_wuming_combo.json#0	1693,1695,1698,1694,1706,1685,1697,1684	8	1694	7.091242083423347	omit_marksman	False	1000	1695.683	6.748781894316693	1683	1710	0.80701		1800	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_reina_wuming_combo.json#0	1693,1695,1698,1694,1706,1685,1697,1684	8	1694	7.091242083423347	first_attack	False	1000	1698.551	6.51796616153252	1686	1712	0.180991		1800	600
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_s1_solo.json#0	251,255,247,256,250	5	251.8	3.7013511046643495	current	False	1000	253.872	4.036571553919222	246	262	0.630768		500	100
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_s1_solo.json#0	251,255,247,256,250	5	251.8	3.7013511046643495	omit	False	1000	253.872	4.036571553919222	246	262	0.630768		500	100
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_s1_solo.json#0	251,255,247,256,250	5	251.8	3.7013511046643495	omit_lancer	False	1000	253.872	4.036571553919222	246	262	0.630768		500	100
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_s1_solo.json#0	251,255,247,256,250	5	251.8	3.7013511046643495	omit_marksman	False	1000	253.872	4.036571553919222	246	262	0.630768		500	100
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_s1_solo.json#0	251,255,247,256,250	5	251.8	3.7013511046643495	first_attack	False	1000	253.872	4.036571553919222	246	262	0.630768		500	100
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_s2_solo.json#0	359,364	2	361.5	3.5355339059327378	current	False	1000	362.385	3.00229725190376	359	369	0.99395		400	100
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_s2_solo.json#0	359,364	2	361.5	3.5355339059327378	omit	False	1000	360.279	3.0871815122680606	357	368	0.553672		400	100
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_s2_solo.json#0	359,364	2	361.5	3.5355339059327378	omit_lancer	False	1000	360.279	3.0871815122680606	357	368	0.553672		400	100
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_s2_solo.json#0	359,364	2	361.5	3.5355339059327378	omit_marksman	False	1000	362.385	3.00229725190376	359	369	0.99395		400	100
hero:Wayne:RoundaboutHit	testcases/emulator_verified/wayne_s2_solo.json#0	359,364	2	361.5	3.5355339059327378	first_attack	False	1000	362.912	2.7418558995275135	360	369	0.727364		400	100
hero:Wayne:RoundaboutHit	testcases/gatot_verified/s33-current-500-marksman-wayne3-vs-5000-gatot3-inf.json#0	-4977	1	-4977		current	False	1000	-4971.956	4.627902492650617	-4979	-4962	0.336683		500	5000
hero:Wayne:RoundaboutHit	testcases/gatot_verified/s33-current-500-marksman-wayne3-vs-5000-gatot3-inf.json#0	-4977	1	-4977		omit	False	1000	-4971.956	4.627902492650617	-4979	-4962	0.336683		500	5000
hero:Wayne:RoundaboutHit	testcases/gatot_verified/s33-current-500-marksman-wayne3-vs-5000-gatot3-inf.json#0	-4977	1	-4977		omit_lancer	False	1000	-4971.956	4.627902492650617	-4979	-4962	0.336683		500	5000
hero:Wayne:RoundaboutHit	testcases/gatot_verified/s33-current-500-marksman-wayne3-vs-5000-gatot3-inf.json#0	-4977	1	-4977		omit_marksman	False	1000	-4971.956	4.627902492650617	-4979	-4962	0.336683		500	5000
hero:Wayne:RoundaboutHit	testcases/gatot_verified/s33-current-500-marksman-wayne3-vs-5000-gatot3-inf.json#0	-4977	1	-4977		first_attack	False	1000	-4971.956	4.627902492650617	-4979	-4962	0.336683		500	5000
hero:Wayne:RoundaboutHit	testcases/gatot_verified/s42-current-wayne-skill-shield-scope-200-inf-vs-450-inf.json#0	32	1	32		current	False	1000	31.23	1.80564679834136	27	32	1		200	450
hero:Wayne:RoundaboutHit	testcases/gatot_verified/s42-current-wayne-skill-shield-scope-200-inf-vs-450-inf.json#0	32	1	32		omit	False	1000	31.23	1.80564679834136	27	32	1		200	450
hero:Wayne:RoundaboutHit	testcases/gatot_verified/s42-current-wayne-skill-shield-scope-200-inf-vs-450-inf.json#0	32	1	32		omit_lancer	False	1000	31.23	1.80564679834136	27	32	1		200	450
hero:Wayne:RoundaboutHit	testcases/gatot_verified/s42-current-wayne-skill-shield-scope-200-inf-vs-450-inf.json#0	32	1	32		omit_marksman	False	1000	31.23	1.80564679834136	27	32	1		200	450
hero:Wayne:RoundaboutHit	testcases/gatot_verified/s42-current-wayne-skill-shield-scope-200-inf-vs-450-inf.json#0	32	1	32		first_attack	False	1000	31.23	1.80564679834136	27	32	1		200	450
hero:Wayne:Fleet	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		current	False	1000	1588.068	2.913393873794591	1582	1594	0.005		1700	300
hero:Wayne:Fleet	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		omit	False	1000	1578.584	1.8011630098878377	1575	1582	5e-05		1700	300
hero:Wayne:Fleet	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		marksman_only	False	1000	1578.56	1.7508470708389916	1575	1582	5e-05		1700	300
hero:Wayne:Fleet	testcases/emulator_verified/hector_renee_wayne.json#0	1597	1	1597		normal_kind	False	1000	1588.068	2.913393873794591	1582	1594	0.005		1700	300
hero:Wayne:Fleet	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		current	False	1000	423.381	1.826245923793994	420	427	0.078446		510	888
hero:Wayne:Fleet	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		omit	False	1000	416	0	416	416	5e-05		510	888
hero:Wayne:Fleet	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		marksman_only	False	1000	420.221	1.5114375420252897	418	423	5e-05		510	888
hero:Wayne:Fleet	testcases/emulator_verified/renee_wayne_mixed_510_vs_888.json#0	427	1	427		normal_kind	False	1000	425.817	2.4591784316227723	421	431	0.777061		510	888
hero:Wayne:Fleet	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	current	False	1000	219.663	79.58737073544127	60	373	0.857807		1200	600
hero:Wayne:Fleet	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	omit	False	1000	-30	0	-30	-30	5e-05		1200	600
hero:Wayne:Fleet	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	marksman_only	False	1000	182.791	89.68932765103372	5	321	0.442778		1200	600
hero:Wayne:Fleet	testcases/emulator_verified/wayne_mixed_solo.json#0	110,216,308,314	4	237	95.81231653602788	normal_kind	False	1000	219.663	79.58737073544127	60	373	0.857807		1200	600
