"kind","owner","slot","id","noncombat_or_empty","mode_gated","chance_trigger_defined","hydrated_fixtures","observation_records","levels","missing_levels","fixture_status","review_status","source"
"hero","Ahmose","1","ViperFormation","false","false","false","4","4","1","2;3;4;5","fixture_present_requires_mechanic_review","needs_review","simulator/config/hero_definitions/Ahmose.json"
"hero","Ahmose","2","PrayerOfFlame","false","false","false","4","4","1","2;3;4;5","fixture_present_requires_mechanic_review","needs_review","simulator/config/hero_definitions/Ahmose.json"
"hero","Ahmose","3","BladeOfLight","false","false","false","1","1","3","1;2;4;5","fixture_present_requires_mechanic_review","needs_review","simulator/config/hero_definitions/Ahmose.json"
"hero","Ahmose","4","GuardiansVitality","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Ahmose.json"
"hero","Alonso","1","Onslaught","false","false","true","15","86","1;3","2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Alonso.json"
"hero","Alonso","2","IronStrength","false","false","true","15","86","1;2;3;4","5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Alonso.json"
"hero","Alonso","3","PoisonHarpoon","false","false","true","9","64","1;4","2;3;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Alonso.json"
"hero","Alonso","4","RazorVolley","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Alonso.json"
"hero","Bahiti","1","SixthSense","false","false","false","10","14","2;5","1;3;4","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Bahiti.json"
"hero","Bahiti","2","Fluorescence","false","false","true","10","14","2;4","1;3;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Bahiti.json"
"hero","Blanchette","1","ArmedToTheTeeth","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Blanchette.json"
"hero","Blanchette","2","BloodHunter","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Blanchette.json"
"hero","Blanchette","3","CrimsonSniper","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Blanchette.json"
"hero","Blanchette","4","LightningStrike","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Blanchette.json"
"hero","Bradley","1","VeteransMight","false","false","false","7","7","1;3;4","2;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Bradley.json"
"hero","Bradley","2","PowerShot","false","false","false","7","7","3;4","1;2;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Bradley.json"
"hero","Bradley","3","TacticalAssistance","false","false","false","7","7","3;4","1;2;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Bradley.json"
"hero","Bradley","4","SiegeInsight","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Bradley.json"
"hero","Edith","1","StrategicBalance","false","false","false","3","3","3","1;2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Edith.json"
"hero","Edith","2","Ironclad","false","false","false","3","3","3","1;2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Edith.json"
"hero","Edith","3","SteelSentinel","false","false","false","3","3","3","1;2;4;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Edith.json"
"hero","Edith","4","Fortworks","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Edith.json"
"hero","Flint","1","Pyromaniac","false","false","false","10","19","1;2;4","3;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Flint.json"
"hero","Flint","2","BurningResolve","false","false","false","10","19","1;2;4","3;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Flint.json"
"hero","Flint","3","Immolation","false","false","false","7","16","1;4","2;3;5","fixture_present_requires_mechanic_review","partially_supported","simulator/config/hero_definitions/Flint.json"
"hero","Flint","4","FortressSpear","false","true","false","0","0","","1;2;3;4;5","excluded_separately_validated_widget","unreviewed","simulator/config/hero_definitions/Flint.json"
"hero","Fred","1","HydraulicSuppression","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Fred.json"
"hero","Fred","2","Acidification","false","false","false","0","0","","1;2;3;4;5","no_active_fixture","unreviewed","simulator/config/hero_definitions/Fred.json"
