name,x,y
Wristwatch,175,973
Scarf,243,926
Bucket,285,884
Snowboard,272,834
Shovel,180,802
Snowman,144,733
Blanket,162,659
Manhole cover,396,908
Feather,490,941
Footprint,448,1001
Dustpan,535,981
Wrench,364,845
Iron axe,277,737
Watering can,488,850
Streetlight,102,515
Satchel,170,869
Toolbox,507,778
Wood pile,549,723
Sign post,561,661
Ruler,541,577
Headwear,91,788
Wind chime,515,455
Bird nest,529,351
Lift,366,428
Lightning,271,271
Seagull,345,305
Airplane,375,208
Kite,170,251
Airship,199,356
Ladder,184,510
Statue,471,599
Diamond,318,618
Gloves,260,988
Boots,344,995
Broom,495,711
Basket,204,745
Cart,410,725
Lighthouse,479,228
Tunnel,442,395
Goggles,314,766
Exclamation mark,461,480
Lantern,564,815
Pouch,615,767
Wreath,284,537
Pruning shears,295,672
